smoke_dum,neuroticism,conscientiousness,extraversion,smoke_parent,parent_control,maternal_care,taught,male,black,hisp,asian,race_other,prof,home,job_other
0,0.8542801,0.2260886,0.3490682,1,0.4285714,5,1,1,1,0,0,0,1,0,0
0,-0.2829252,0.2260886,1.260275,0,0.2857143,5,1,1,1,0,0,0,1,0,0
0,0.1377737,-1.112838,0.3490682,1,0.7142857,4.25,1,0,1,0,0,0,0,1,0
0,-0.3664385,0.2260886,0.3490682,1,0.8571429,3,1,0,1,0,0,0,1,0,0
0,-0.2861097,0.2260886,0.3015378,0,0.7142857,5,1,1,1,0,0,0,1,0,0
1,0.8417022,0.5078208,1.260275,1,0.8571429,4.5,1,1,1,0,0,0,0,0,1
1,0.8542801,0.2260886,1.260275,1,0.4285714,4.5,1,1,1,0,0,0,0,1,0
0,0.3276244,0.6442378,0.9406958,0,0.8571429,5,1,1,1,0,0,0,1,0,0
0,0.8542801,-0.0890676,1.260275,1,0.8571429,5,1,0,1,0,0,0,0,0,1
0,-0.2081124,0.2260886,0.6679905,1,1,2.25,1,0,1,0,0,0,1,0,0
0,0.3602999,-0.5072168,0.6679905,0,1,4.5,0,1,1,0,0,0,0,0,1
0,-0.4522976,0.2682451,0.6211168,1,0.8571429,5,1,0,1,0,0,0,1,0,0
